Subject,Property,Object,
Berlin Wall fragment,rico:generalDescription,"The opening of the Berlin Wall by the East German government on November 9, 1989, signaled the collapse of Communism and led to the reunification of East and West Germany. Their separation through the center of Berlin dated to the Allied partition of the country into occupied zones after the Second World War. When the end came, portions of the wall were cut into memorial-size chunks of concrete. An apparently limitless supply of smaller bits became available to a global audience who had witnessed the wall’s destruction on television. A vendor in a Berlin flea market sold this fragment to a visiting Canadian student, who in turn sold it on an Internet auction site. Purchase, 2011",
Berlin Wall fragment,rico:hasCreationDate,1989,
Berlin Wall fragment,rico:identifier,2011.0015.01,
Berlin Wall fragment,rico:identifier,2011.0015,
Berlin Wall fragment,rico:identifier,2011.0015.01,
Berlin Wall fragment,crm:P45 consists of,"red (overall color) yellow (overall color) pink (overall color) black (overall color) grey (overall color) concrete (overall material)",
Berlin Wall fragment,rdfs:label,"Berlin Wall fragment, Berlin, Germany, 1961",
Berlin Wall fragment,rico:identifier,"http://n2t.net/ark:/65665/ng49ca746ad-2f56-704b-e053-15f76fa0b4fa",
Berlin Wall fragment,rico:measure,"overall: 3 3/4 in x 4 in x 1 in; 9.525 cm x 10.16 cm x 2.54 cm",
Berlin Wall fragment,crm:P2 has type,"fragment, concrete",
Berlin Wall fragment,rico:hasOrHadHolder,National Museum of American History,
Berlin Wall fragment,schema:productionDate,1989,
Berlin Wall fragment,rico:wasPartOf,Berlin Wall,
