Subject,Property,Object
Folding Map of Berlin Showing Berlin Wall,rico:measure,H: 60.3 cm W: 83.8 cm
Folding Map of Berlin Showing Berlin Wall,rico:isDirectlyIncludedIn,P - Maps and plans
Folding Map of Berlin Showing Berlin Wall,rdfs:label,JRO Berlin special card 1962
Folding Map of Berlin Showing Berlin Wall,crm:P23 transferred title from,Michael Müller
Folding Map of Berlin Showing Berlin Wall,rico:identifier,P-000597
Folding Map of Berlin Showing Berlin Wall,rico:hasCreationDate,1962
Folding Map of Berlin Showing Berlin Wall,crm:P62 depicts,Berlin Wall
Folding Map of Berlin Showing Berlin Wall,crm:P55 has current location,Berlin Wall Foundation
Folding Map of Berlin Showing Berlin Wall,crm:P62 depicts,German Democratic Republic (East Berlin)
Folding Map of Berlin Showing Berlin Wall,crm:P62 depicts,Federal Republic of Germany (West Berlin)
Folding Map of Berlin Showing Berlin Wall,crm:P62 depicts,Platz des 18. März
