Subject,Property,Object
Folding Map,rico:measure,H: 60.3 cm W: 83.8 cm
Folding Map,rico:isDirectlyIncludedIn,P - Maps and plans
Folding Map,rdfs:label,JRO Berlin special card 1962
Folding Map,crm:P23 transferred title from,Michael Müller
Folding Map,rico:identifier,P-000597
Folding Map,rico:hasCreationDate,1962
Folding Map,crm:P62 depicts,Berlin Wall
Folding Map,rico:hasOrHadHolder,Berlin Wall Foundation
Folding Map,crm:P62 depicts,German Democratic Republic (East Berlin)
Folding Map,crm:P62 depicts,Federal Republic of Germany (West Berlin)
