Subject,Property,Object,
Goodbye Lenin!,fo:hasDirector,Wolfgang Becker,
Goodbye Lenin!,fo:hasActor,Katrine Sass,
Goodbye Lenin!,fo:hasActor,Daniel Brühl,
Goodbye Lenin!,schema:inLanguage,German,
Goodbye Lenin!,fo:hasGenre,Comedy,
Goodbye Lenin!,fo:hasGenre,Drama,
Goodbye Lenin!,fo:hasGenre,Sentimental,
Goodbye Lenin!,schema:locationCreated,Germany,
Goodbye Lenin!,fo:releaseYear,2003,
Goodbye Lenin!,fo:description,"In 1990, to protect his mother from a shock that would be fatal after she awekens from a long coma, a young man must do everything to prevent her from realizing that the Berlin Wall has fallen and that East Germany no longer exists.",
Goodbye Lenin!,fo:budget,4.800.000€,
Goodbye Lenin!,fo:hasComposer,Yan Tiersen,
Goodbye Lenin!,fo:duration,121 minutes,
Goodbye Lenin!,fo:title,"Good Bye, Lenin!",
Goodbye Lenin!,fo:hasScriptWriter,Bernd Lichtenberg,
Goodbye Lenin!,fo:hasFilmStudio,X-Filme Creative Pool,
Goodbye Lenin!,crm:P62 depicts,Belin Wall,
