Subject,Property,Object
East Side Gallery,schema:location,Friedrichshain-Kreuzberg
East Side Gallery,crm:P55 has current location,"Mühlenstraße, 13127"
East Side Gallery,rico:identifier,n2012043956
East Side Gallery,rico:identifier,2122251-4
East Side Gallery,rico:identifier,Q313746
East Side Gallery,rico:identifier,art 6807791
East Side Gallery,rico:identifier,VIAF ID: 264345697
East Side Gallery,rico:beginningDate,1990
East Side Gallery,crm:P198 is held or supported by,Berlin Wall
East Side Gallery,rdfs:type,art museum
