Subject,Property,Object
Il tunnel della libertà,rico:identifier,8811740290
Il tunnel della libertà,rico:identifier,801301496
Il tunnel della libertà,fabio:has creator,Ellen Sesta
Il tunnel della libertà,rdfs:type,print book
Il tunnel della libertà,fabio:has publication date,2002
Il tunnel della libertà,fabio:has publisher,Garzanti
Il tunnel della libertà,fabio:has page count,213 pages
Il tunnel della libertà,fabio:has language,Italian
Il tunnel della libertà,dcterms:coverage,Germany (1945-1989)
Il tunnel della libertà,rico:identifier,6788811740292
Il tunnel della libertà,crm:P129 is about,Berlin Wall
