Item,Item Type,Provider,Metadata Standard
Reagan's speech notes: "Tear down this wall!",Text,The U.S. National Archives and Records Administration,LCDRG
Map of Germany with the occupation zone,Map,Stiftung Berliner Mauer,LIDO
Leaflet for visitors of the GDR,Leaflet,Stiftung Berliner Mauer,LIDO
Banknote of the GDR,Banknote,Stiftung Berliner Mauer,LIDO
Brochure: "A Wall of Peache",Brochure,Stiftung Berliner Mauer,LIDO
Photograph: "Leap into freedom",Photograph,Library of Congress,MODS
Passport of the Federal Republic of Germany,Document,Stiftung Berliner Mauer,LIDO
Postcard of a graffiti,Postcard,Stiftung Berliner Mauer,LIDO
Wedding Postcard,Postcard,Stiftung Berliner Mauer,LIDO
Berlin Wall fragment,Historical Structure Fragment,National Museum of American History,CCO
